Player,#,Team,Pos,HT,WT,Age,Exp,College,Status
Alex Cappa,N/A,LV,G,6'6,312,31,8,Humboldt State,ACT
Daniel Carlson,N/A,LV,K,6'5,215,31,8,Auburn,ACT
AJ Cole,N/A,LV,P,6'4,220,30,7,NC State,ACT
Terrell Edmunds,N/A,LV,S,6'1,217,29,8,Virginia Tech,ACT
Tommy Eichenberg,N/A,LV,LB,6'2,234,25,2,Ohio State,ACT
Stone Forsythe,70,LV,T,6'8,307,28,5,Florida,ACT
DJ Glaze,N/A,LV,T,6'4,331,23,2,Maryland,ACT
Charles Grant,N/A,LV,T,6'4,304,23,R,William & Mary,ACT
Jahfari Harvey,N/A,LV,DE,6'2,255,24,R,SMU,ACT
Tonka Hemingway,N/A,LV,DT,6'2,284,24,R,South Carolina,ACT
Darnay Holmes,N/A,LV,CB,5'10,198,27,6,UCLA,ACT
Shedrick Jackson,N/A,LV,WR,6'1,198,26,1,Auburn,ACT
Ashton Jeanty,N/A,LV,RB,5'8,208,22,R,Boise State,ACT
Lonnie Johnson Jr.,N/A,LV,S,6'2,221,30,7,Kentucky,ACT
Malcolm Koonce,N/A,LV,DE,6'3,243,27,5,Buffalo,ACT
Dylan Laube,N/A,LV,RB,5'9,204,26,2,New Hampshire,ACT
Jonah Laulu,N/A,LV,DT,6'5,289,25,2,Oklahoma,ACT
Cody Lindenberg,N/A,LV,LB,6'2,236,24,R,Minnesota,ACT
Tyler Lockett,N/A,LV,WR,5'10,182,33,11,Kansas State,ACT
Atonio Mafi,N/A,LV,G,6'3,330,25,2,UCLA,ACT
Brodric Martin,N/A,LV,DT,6'5,330,26,3,Western Kentucky,ACT
Michael Mayer,N/A,LV,TE,6'4,256,24,3,Notre Dame,ACT
Tristin McCollum,N/A,LV,S,6'3,195,26,2,Sam Houston State,ACT
Raheem Mostert,N/A,LV,RB,5'10,212,33,11,Purdue,ACT
Aidan O'Connell,N/A,LV,QB,6'3,206,27,3,Purdue,ACT
Dylan Parham,N/A,LV,G,6'2,332,26,4,Memphis,ACT
JJ Pegues,N/A,LV,DT,6'2,325,24,R,Mississippi,ACT
Kenny Pickett,N/A,LV,QB,6'3,220,27,4,Pittsburgh,ACT
Isaiah Pola-Mao,N/A,LV,S,6'3,204,26,4,USC,ACT
Darien Porter,N/A,LV,CB,6'2,195,25,R,Iowa State,ACT
Will Putnam,N/A,LV,C,6'4,301,25,1,Clemson,ACT
Jon Rhattigan,N/A,LV,LB,6'1,236,27,5,Army,ACT
Decamerion Richardson,N/A,LV,CB,6'2,192,24,2,Mississippi State,ACT
Elandon Roberts,N/A,LV,LB,5'11,235,31,10,Houston,ACT
Caleb Rogers,N/A,LV,G,6'4,312,24,R,Texas Tech,ACT
Carter Runyon,N/A,LV,TE,6'4,243,24,R,Towson,ACT
Geno Smith,N/A,LV,QB,6'3,221,35,13,West Virginia,ACT
Charles Snowden,N/A,LV,DE,6'6,250,27,2,Virginia,ACT
Eric Stokes,N/A,LV,CB,6'1,193,26,5,Georgia,ACT
Ian Thomas,N/A,LV,TE,6'3,253,29,8,Indiana,ACT
Dont'e Thornton Jr.,N/A,LV,WR,6'5,205,23,R,Tennessee,ACT
Tre Tucker,N/A,LV,WR,5'8,182,24,3,Cincinnati,ACT
Greedy Vance,N/A,LV,CB,5'9,177,24,R,USC,ACT
Devin White,N/A,LV,LB,6'1,252,28,7,LSU,ACT
Zamir White,N/A,LV,RB,5'11,227,26,4,Georgia,ACT
Tyree Wilson,N/A,LV,DE,6'5,263,25,3,Texas Tech,ACT
Brock Bowers,N/A,LV,TE,6'4,235,23,2,Georgia,IR
Jeremy Chinn,N/A,LV,S,6'3,220,27,6,Southern Illinois,IR
Maxx Crosby,N/A,LV,DE,6'5,255,28,7,Eastern Michigan,IR
Brennan Jackson,N/A,LV,LB,6'4,263,25,2,Washington State,IR
Kyu Blu Kelly,N/A,LV,CB,6'1,188,24,2,Stanford,IR
Jordan Meredith,N/A,LV,C,6'2,301,28,3,Western Kentucky,IR
Kolton Miller,N/A,LV,T,6'8,326,30,8,UCLA,IR
Jackson Powers-Johnson,N/A,LV,G,6'3,325,23,2,Oregon,IR
Saquon Barkley,N/A,PHI,RB,6'1,233,29,8,Penn State,ACT
Zack Baun,N/A,PHI,LB,6'3,225,29,6,Wisconsin,ACT
Jaheim Bell,N/A,PHI,TE,6'2,241,24,2,Florida State,ACT
Jakorian Bennett,N/A,PHI,CB,5'10,200,25,3,Maryland,ACT
Tank Bigsby,N/A,PHI,RB,5'11,215,23,3,Auburn,ACT
Reed Blankenship,N/A,PHI,S,6'1,203,26,4,Middle Tennessee State,ACT
A.J. Brown,N/A,PHI,WR,6'1,226,28,7,Mississippi,ACT
Sydney Brown,N/A,PHI,S,5'10,211,25,3,Illinois,ACT
Grant Calcaterra,N/A,PHI,TE,6'4,240,27,4,SMU,ACT
Chance Campbell,N/A,PHI,LB,6'2,232,26,4,Mississippi,ACT
Jihaad Campbell,N/A,PHI,LB,6'3,235,21,R,Alabama,ACT
Jalen Carter,N/A,PHI,DT,6'3,314,24,3,Georgia,ACT
Michael Carter II,N/A,PHI,CB,5'10,184,26,5,Duke,ACT
Tariq Castro-Fields,N/A,PHI,DB,6'1,197,27,3,Penn State,ACT
Darius Cooper,N/A,PHI,WR,5'11,210,24,R,Tarleton State,ACT
Britain Covey,N/A,PHI,WR,5'8,173,28,4,Utah,ACT
Jordan Davis,N/A,PHI,DT,6'6,336,26,4,Georgia,ACT
Nakobe Dean,N/A,PHI,LB,5'11,231,25,4,Georgia,ACT
Cooper DeJean,N/A,PHI,DB,6'1,198,23,2,Iowa,ACT
Landon Dickerson,N/A,PHI,G,6'6,332,27,5,Alabama,ACT
A.J. Dillon,N/A,PHI,RB,6'1,247,27,6,Boston College,ACT
Jahan Dotson,N/A,PHI,WR,5'11,184,25,4,Penn State,ACT
Jake Elliott,N/A,PHI,K,5'9,167,31,9,Memphis,ACT
Marcus Epps,N/A,PHI,S,6'1,198,30,7,Wyoming,ACT
Dallas Goedert,N/A,PHI,TE,6'5,256,31,8,South Dakota State,ACT
Brandon Graham,N/A,PHI,DE,6'2,265,37,16,Michigan,ACT
Kylen Granson,N/A,PHI,TE,6'3,242,27,5,SMU,ACT
Danny Gray,N/A,PHI,WR,6'1,200,26,3,SMU,ACT
Gabe Hall,N/A,PHI,DT,6'6,295,25,1,Baylor,ACT
Sam Howell,N/A,PHI,QB,6'1,220,25,4,North Carolina,ACT
Jalyx Hunt,N/A,PHI,OLB,6'3,252,24,2,Houston Christian,ACT
Jalen Hurts,N/A,PHI,QB,6'1,223,27,6,Oklahoma,ACT
Adoree' Jackson,N/A,PHI,CB,5'11,185,30,9,USC,ACT
E.J. Jenkins,N/A,PHI,TE,6'6,245,27,2,Georgia Tech,ACT
Brandon Johnson,N/A,PHI,DB,5'10,185,22,R,Oregon,ACT
Lane Johnson,N/A,PHI,T,6'6,325,35,13,Oklahoma,ACT
Fred Johnson,N/A,PHI,T,6'7,326,28,7,Florida,ACT
Cam Jurgens,N/A,PHI,C,6'3,303,26,4,Nebraska,ACT
Drew Kendall,N/A,PHI,C,6'4,308,24,R,Boston College,ACT
Cameron Latu,N/A,PHI,TE,6'5,244,25,2,Alabama,ACT
Jordan Mailata,N/A,PHI,T,6'8,365,28,8,,ACT
Jake Majors,N/A,PHI,C,6'3,306,24,R,Texas,ACT
Braden Mann,N/A,PHI,P,5'11,198,28,6,Texas A&M,ACT
Tanner McKee,N/A,PHI,QB,6'6,231,25,3,Stanford,ACT
Mac McWilliams,N/A,PHI,CB,5'10,191,24,R,Central Florida,ACT
Quinyon Mitchell,N/A,PHI,CB,6'1,193,24,2,Toledo,ACT
Smael Mondon Jr.,N/A,PHI,LB,6'2,224,23,R,Georgia,ACT
Moro Ojomo,N/A,PHI,DT,6'3,292,24,3,Texas,ACT
John Ojukwu,N/A,PHI,T,6'5,309,27,2,Boise State,ACT
Jaelan Phillips,N/A,PHI,OLB,6'5,266,26,5,Miami,ACT
Hollin Pierce,63,PHI,LT,6'8,341,24,R,Rutgers,ACT
Matt Pryor,79,PHI,LG,6'7,332,31,8,TCU,ACT
Jose Ramirez,N/A,PHI,OLB,6'2,252,26,2,Eastern Michigan,ACT
Kelee Ringo,N/A,PHI,CB,6'2,207,23,3,Georgia,ACT
Ty Robinson,N/A,PHI,DT,6'5,288,24,R,Nebraska,ACT
Andre' Sam,N/A,PHI,S,5'10,194,27,1,LSU,ACT
Will Shipley,N/A,PHI,RB,5'11,209,23,2,Clemson,ACT
DeVonta Smith,N/A,PHI,WR,6'1,170,27,5,Alabama,ACT
Nolan Smith Jr.,N/A,PHI,OLB,6'2,238,25,3,Georgia,ACT
Carson Steele,N/A,PHI,RB,6'1,228,23,2,UCLA,ACT
Tyler Steen,56,PHI,LG,6'6,321,25,3,Alabama,ACT
Ambry Thomas,N/A,PHI,CB,6'1,190,26,5,Michigan,ACT
Brett Toth,N/A,PHI,T,6'6,304,29,6,Army,ACT
Jeremiah Trotter Jr.,N/A,PHI,LB,6'1,225,23,2,Clemson,ACT
Joshua Uche,N/A,PHI,OLB,6'3,226,27,6,Michigan,ACT
Quez Watkins,N/A,PHI,WR,6'1,193,27,5,Southern Mississippi,ACT
Cameron Williams,N/A,PHI,T,6'5,317,22,R,Texas,ACT
Byron Young,N/A,PHI,DT,6'3,292,25,3,Alabama,ACT
Myles Hinton,N/A,PHI,T,6'6,323,24,R,Michigan,ACT
Willie Lampkin,N/A,PHI,G,5'11,290,24,R,North Carolina,ACT
Andrew Mukuba,N/A,PHI,S,5'11,186,23,R,Texas,ACT
Azeez Ojulari,N/A,PHI,OLB,6'3,240,25,5,Georgia,ACT
Ogbo Okoronkwo,N/A,PHI,OLB,6'2,253,30,8,Oklahoma,ACT
Ben VanSumeren,N/A,PHI,FB,6'2,231,25,3,Michigan State,ACT
Johnny Wilson,N/A,PHI,WR,6'6,228,24,2,Florida State,ACT
Paulson Adebo,N/A,NYG,CB,6'1,192,26,5,Stanford,ACT
Darius Alexander,N/A,NYG,DL,6'4,310,25,R,Toledo,ACT
Deonte Banks,N/A,NYG,CB,6'2,200,24,3,Maryland,ACT
Zaire Barnes,N/A,NYG,LB,6'1,232,26,3,Western Michigan,ACT
Daniel Bellinger,N/A,NYG,TE,6'6,255,25,4,San Diego State,ACT
Dane Belton,N/A,NYG,S,6'1,190,25,4,Iowa,ACT
Jarrick Bernard-Converse,N/A,NYG,CB,6'1,205,25,3,LSU,ACT
Korie Black,N/A,NYG,CB,6'1,190,23,R,Oklahoma State,ACT
Beau Brade,N/A,NYG,S,6'1,209,24,2,Maryland,ACT
Brian Burns,N/A,NYG,OLB,6'5,250,27,7,Florida State,ACT
Dalen Cambre,N/A,NYG,WR,6'1,192,24,R,Louisiana,ACT
Abdul Carter,N/A,NYG,OLB,6'3,252,22,R,Penn State,ACT
Elijah Chatman,N/A,NYG,DL,6'1,278,25,2,SMU,ACT
Jaxson Dart,N/A,NYG,QB,6'2,223,22,R,Mississippi,ACT
Jermaine Eluemunor,72,NYG,RT,6'4,338,31,9,Texas A&M,ACT
Demetrius Flannigan-Fowles,N/A,NYG,LB,6'2,223,29,6,Arizona,ACT
Tomon Fox,N/A,NYG,OLB,6'2,245,27,3,North Carolina,ACT
Jamie Gillan,N/A,NYG,P,6'1,207,28,7,University of Arkansas at Pine Bluff,ACT
Xavier Gipson,N/A,NYG,WR,5'9,189,24,3,Stephen F. Austin State,ACT
Chauncey Golston,N/A,NYG,DL,6'5,277,28,5,Iowa,ACT
Eric Gray,N/A,NYG,RB,5'10,211,26,3,Oklahoma,ACT
Art Green,N/A,NYG,CB,6'2,200,25,2,Houston,ACT
Neville Hewitt,N/A,NYG,LB,6'2,235,32,11,Marshall,ACT
Isaiah Hodgins,N/A,NYG,WR,6'3,200,27,4,Oregon State,ACT
Jevón Holland,N/A,NYG,S,6'1,207,25,5,Oregon,ACT
Bryan Hudson,N/A,NYG,C,6'5,305,25,1,Louisville,ACT
James Hudson III,55,NYG,T,6'5,313,26,5,Cincinnati,ACT
Jalin Hyatt,N/A,NYG,WR,6'1,185,24,3,Tennessee,ACT
Courtney Jackson,N/A,NYG,WR,5'11,189,24,R,Arkansas State,ACT
Theo Johnson,N/A,NYG,TE,6'6,264,24,2,Penn State,ACT
Casey Kreiter,N/A,NYG,LS,6'1,250,35,10,Iowa,ACT
Dexter Lawrence II,N/A,NYG,DL,6'4,340,28,7,Clemson,ACT
Raheem Layne,N/A,NYG,S,5'11,192,26,3,Indiana,ACT
Chris Manhertz,N/A,NYG,TE,6'6,235,33,10,Canisius College,ACT
Marcus Mbow,71,NYG,T,6'5,300,22,R,Purdue,ACT
Dante Miller,N/A,NYG,RB,5'9,200,26,1,South Carolina,ACT
Ryan Miller,N/A,NYG,WR,6'2,221,25,2,Furman,ACT
Darius Muasau,N/A,NYG,LB,6'1,234,25,2,UCLA,ACT
Caleb Murphy,N/A,NYG,OLB,6'3,254,26,3,Ferris State,ACT
Bobby Okereke,N/A,NYG,ILB,6'2,235,29,7,Stanford,ACT
Gunner Olszewski,N/A,NYG,WR,6'1,190,29,7,Bemidji State University,ACT
Rico Payton,N/A,NYG,CB,6'1,182,26,2,Pittsburg State (KS),ACT
Dru Phillips,N/A,NYG,CB,5'11,180,24,2,Kentucky,ACT
Roy Robertson-Harris,N/A,NYG,DT,6'7,300,32,9,Texas-El Paso,ACT
Jon Runyan,N/A,NYG,G,6'4,307,28,6,Michigan,ACT
Ben Sauls,N/A,NYG,K,5'10,185,24,R,Pittsburgh,ACT
Austin Schlottmann,65,NYG,C,6'6,300,30,7,TCU,ACT
Devin Singletary,N/A,NYG,RB,5'7,203,28,7,Florida Atlantic,ACT
Darius Slayton,N/A,NYG,WR,6'1,198,29,7,Auburn,ACT
Aaron Stinnie,64,NYG,LG,6'3,312,32,8,James Madison,ACT
Tyrone Tracy Jr.,N/A,NYG,RB,5'11,210,26,2,Purdue,ACT
Greg Van Roten,N/A,NYG,G,6'4,295,35,11,Penn,ACT
Russell Wilson,N/A,NYG,QB,5'11,206,37,14,Wisconsin,ACT
Jameis Winston,N/A,NYG,QB,6'4,231,32,11,Florida State,ACT
Evan Neal,73,NYG,LG,6'7,340,25,4,Alabama,ACT
Chris Board,N/A,NYG,LB,6'2,229,30,8,North Dakota State,IR
Beaux Collins,N/A,NYG,WR,6'3,206,23,R,Notre Dame,IR
D.J. Davidson,N/A,NYG,DL,6'5,320,26,4,Arizona State,IR
Victor Dimukeje,N/A,NYG,OLB,6'2,262,26,5,Duke,IR
Joshua Ezeudu,75,NYG,LG,6'4,310,26,4,North Carolina,IR
Da'Quan Felton,N/A,NYG,WR,6'5,216,25,R,Virginia Tech,IR
Thomas Fidone II,N/A,NYG,TE,6'6,255,23,R,Nebraska,IR
Cor'Dale Flott,N/A,NYG,CB,6'2,175,24,4,LSU,IR
Bryce Ford-Wheaton,N/A,NYG,WR,6'3,220,25,3,West Virginia,IR
Graham Gano,N/A,NYG,K,6'2,202,38,16,Florida State,IR
Anthony Johnson Jr.,N/A,NYG,S,6'1,205,26,3,Iowa State,IR
Nic Jones,N/A,NYG,CB,6'1,189,24,2,Ball State,IR
Micah McFadden,N/A,NYG,ILB,6'2,232,26,4,Indiana,IR
TJ Moore,N/A,NYG,CB,6'1,185,24,R,Mercer,IR
Malik Nabers,N/A,NYG,WR,6'1,200,22,2,LSU,IR
Tyler Nubin,N/A,NYG,S,6'2,210,24,2,Minnesota,IR
Rakeem Nuñez-Roches Sr.,N/A,NYG,DL,6'2,305,32,11,Southern Mississippi,IR
Wan'Dale Robinson,N/A,NYG,WR,5'8,185,25,4,Kentucky,IR
John Michael Schmitz Jr.,N/A,NYG,C,6'4,320,26,3,Minnesota,IR
Cam Skattebo,N/A,NYG,RB,5'11,215,24,R,Arizona State,IR
Kayvon Thibodeaux,N/A,NYG,OLB,6'5,258,25,4,Oregon,IR
Andrew Thomas,N/A,NYG,T,6'5,315,27,6,Georgia,IR
Nick Allegretti,N/A,WAS,G,6'4,310,29,7,Illinois,ACT
John Bates,N/A,WAS,TE,6'6,256,28,5,Boise State,ACT
Nick Bellore,N/A,WAS,LB,6'1,250,36,15,Central Michigan,ACT
Treylon Burks,N/A,WAS,WR,6'2,225,25,4,Arkansas,ACT
Percy Butler,N/A,WAS,S,6'1,190,25,4,Louisiana,ACT
Brandon Coleman,N/A,WAS,T,6'6,320,25,2,TCU,ACT
Josh Conerly Jr.,N/A,WAS,T,6'4,315,22,R,Oregon,ACT
Jacory Croskey-Merritt,N/A,WAS,RB,5'11,208,24,R,Arizona,ACT
Jayden Daniels,N/A,WAS,QB,6'4,210,25,2,LSU,ACT
Sheldon Day,N/A,WAS,DT,6'1,294,31,9,Notre Dame,ACT
Jeff Driskel,N/A,WAS,QB,6'4,231,32,9,Louisiana Tech,ACT
Chase Edmonds,N/A,WAS,RB,5'9,205,29,8,Fordham,ACT
George Fant,N/A,WAS,T,6'5,296,33,10,Western Kentucky,ACT
Julian Good-Jones,N/A,WAS,C,6'5,313,28,2,Iowa State,ACT
Antonio Hamilton Sr.,N/A,WAS,CB,6'1,188,33,10,South Carolina State,ACT
Will Harris,N/A,WAS,S,6'1,206,30,7,Boston College,ACT
Sam Hartman,N/A,WAS,QB,6'1,209,26,1,Notre Dame,ACT
Jalyn Holmes,N/A,WAS,DE,6'5,283,30,6,Ohio State,ACT
Noah Igbinoghene,N/A,WAS,CB,5'11,197,26,6,Auburn,ACT
Drake Jackson,N/A,WAS,DE,6'4,273,24,3,USC,ACT
Josh Johnson,N/A,WAS,QB,6'3,214,39,11,San Diego,ACT
Jonathan Jones,N/A,WAS,CB,5'9,185,32,10,Auburn,ACT
Ale Kaho,N/A,WAS,LB,6'2,230,25,R,UCLA,ACT
Javon Kinlaw,N/A,WAS,DT,6'5,319,28,6,South Carolina,ACT
Frankie Luvu,N/A,WAS,LB,6'3,235,29,8,Washington State,ACT
Jordan Magee,N/A,WAS,LB,6'3,225,24,2,Temple,ACT
Marcus Mariota,N/A,WAS,QB,6'4,222,32,11,Oregon,ACT
Jacob Martin,N/A,WAS,DE,6'2,242,30,8,Temple,ACT
Quan Martin,N/A,WAS,S,6'1,195,25,3,Illinois,ACT
Terry McLaurin,N/A,WAS,WR,6'1,210,30,7,Ohio State,ACT
Jeremy McNichols,N/A,WAS,RB,5'9,205,30,5,Boise State,ACT
Kain Medrano,N/A,WAS,LB,6'3,230,25,R,UCLA,ACT
Von Miller,N/A,WAS,LB,6'3,250,36,15,Texas A&M,ACT
Jake Moody,N/A,WAS,K,6'1,210,26,3,Michigan,ACT
Chris Moore,N/A,WAS,WR,6'1,200,32,9,Cincinnati,ACT
Jer'Zhan Newton,N/A,WAS,DT,6'2,295,23,2,Illinois,ACT
Tyler Ott,N/A,WAS,LS,6'3,252,33,11,Harvard,ACT
Tyler Owens,N/A,WAS,S,6'2,213,24,2,Texas Tech,ACT
Chris Paul,N/A,WAS,G,6'4,324,27,4,Tulsa,ACT
Daron Payne,N/A,WAS,DT,6'3,320,28,8,Alabama,ACT
Jeremy Reaves,N/A,WAS,S,5'11,200,29,6,South Alabama,ACT
Chris Rodriguez Jr.,N/A,WAS,RB,5'11,224,26,3,Kentucky,ACT
Mike Sainristil,N/A,WAS,CB,5'10,182,25,2,Michigan,ACT
Deebo Samuel,N/A,WAS,WR,6'1,215,30,7,South Carolina,ACT
Trent Scott,N/A,WAS,T,6'5,320,32,8,Grambling State,ACT
Ben Sinnott,N/A,WAS,TE,6'4,245,23,2,Kansas State,ACT
Preston Smith,N/A,WAS,DE,6'5,265,33,11,Mississippi State,ACT
Laremy Tunsil,N/A,WAS,T,6'5,313,31,10,Mississippi,ACT
Shy Tuttle,N/A,WAS,DT,6'3,300,30,7,Tennessee,ACT
Bobby Wagner,N/A,WAS,LB,6'1,242,35,14,Utah State,ACT
Tress Way,N/A,WAS,P,6'1,220,35,12,Oklahoma,ACT
Andrew Wylie,N/A,WAS,G,6'5,304,31,8,Eastern Michigan,ACT
Colson Yankoff,N/A,WAS,TE,6'4,225,25,2,UCLA,ACT
Trey Amos,N/A,WAS,CB,6'1,190,23,R,Mississippi,IR
Dorance Armstrong,N/A,WAS,DE,6'4,255,28,8,Kansas,IR
Tyler Biadasz,N/A,WAS,C,6'4,316,28,6,Wisconsin,IR
Noah Brown,N/A,WAS,WR,6'2,225,30,9,Ohio State,IR
Sam Cosmi,N/A,WAS,T,6'7,309,27,5,Texas,IR
Austin Ekeler,N/A,WAS,RB,5'10,200,30,9,Western State,IR
Zach Ertz,N/A,WAS,TE,6'5,250,35,13,Stanford,IR
Eddie Goldman,N/A,WAS,DT,6'3,320,32,8,Florida State,IR
Tyree Jackson,N/A,WAS,TE,6'7,249,28,3,Buffalo,IR
Javontae Jean-Baptiste,N/A,WAS,DE,6'4,260,25,2,Notre Dame,IR
Jaylin Lane,N/A,WAS,WR,5'10,196,23,R,Virginia Tech,IR
Marshon Lattimore,N/A,WAS,CB,6'1,192,29,9,Ohio State,IR
Luke McCaffrey,N/A,WAS,WR,6'2,195,24,2,Rice,IR
Lucas Niang,N/A,WAS,T,6'6,315,27,4,TCU,IR
Deatrich Wise Jr.,N/A,WAS,DE,6'5,280,31,9,Arkansas,IR
Bryan Anger,N/A,DAL,P,6'3,202,37,14,California,ACT
Justin Barron,N/A,DAL,LB,6'4,235,24,R,Syracuse,ACT
Cooper Beebe,N/A,DAL,C,6'4,335,24,2,Kansas State,ACT
Markquese Bell,N/A,DAL,S,6'3,205,27,4,Florida A&M,ACT
DaRon Bland,N/A,DAL,CB,6'1,197,26,4,Fresno State,ACT
Jaydon Blue,N/A,DAL,RB,5'9,196,22,R,Texas,ACT
Tyler Booker,N/A,DAL,G,6'4,321,21,R,Alabama,ACT
Trikweze Bridges,N/A,DAL,CB,6'2,200,25,R,Florida,ACT
Caelen Carson,N/A,DAL,CB,6'1,195,23,2,Wake Forest,ACT
Alijah Clark,N/A,DAL,DB,6'1,187,22,R,Syracuse,ACT
Kenny Clark,N/A,DAL,DT,6'3,314,30,10,UCLA,ACT
Ajani Cornelius,N/A,DAL,T,6'4,310,23,R,Oregon,ACT
Malik Davis,N/A,DAL,RB,5'11,202,27,2,Florida,ACT
Donovan Ezeiruaku,N/A,DAL,DE,6'2,248,22,R,Boston College,ACT
Jake Ferguson,N/A,DAL,TE,6'5,244,27,4,Wisconsin,ACT
Ryan Flournoy,N/A,DAL,WR,6'1,200,26,2,Southeast Missouri State,ACT
Tyler Guyton,N/A,DAL,T,6'7,322,23,2,Oklahoma,ACT
Malik Hooker,N/A,DAL,S,6'2,212,29,9,Ohio State,ACT
James Houston,N/A,DAL,DE,6'1,241,27,4,Jackson State University,ACT
Shemar James,N/A,DAL,LB,6'1,222,21,R,Florida,ACT
Trevor Keegan,N/A,DAL,G,6'5,306,25,2,Michigan,ACT
CeeDee Lamb,N/A,DAL,WR,6'2,200,26,6,Oklahoma,ACT
Marist Liufau,N/A,DAL,LB,6'2,239,25,2,Notre Dame,ACT
Hunter Luepke,N/A,DAL,RB,6'1,238,25,3,North Dakota State,ACT
Phil Mafah,N/A,DAL,RB,6'1,234,23,R,Clemson,ACT
Joe Milton III,N/A,DAL,QB,6'5,246,25,2,Tennessee,ACT
Jonathan Mingo,N/A,DAL,WR,6'2,220,24,3,Mississippi,ACT
Osa Odighizuwa,N/A,DAL,DT,6'2,280,27,5,UCLA,ACT
DeMarvion Overshown,N/A,DAL,LB,6'2,220,25,3,Texas,ACT
Dak Prescott,N/A,DAL,QB,6'2,238,32,10,Mississippi State,ACT
Shavon Revel Jr.,N/A,DAL,CB,6'1,194,23,R,East Carolina,ACT
Luke Schoonmaker,N/A,DAL,TE,6'5,250,27,3,Michigan,ACT
Trent Sieg,N/A,DAL,LS,6'3,240,30,8,Colorado State,ACT
Tyler Smith,73,DAL,LT,6'6,332,24,4,Tulsa,ACT
Brevyn Spann-Ford,N/A,DAL,TE,6'7,270,26,2,Minnesota,ACT
Terence Steele,N/A,DAL,T,6'6,310,28,6,Texas Tech,ACT
Nate Thomas,N/A,DAL,T,6'4,331,24,2,Louisiana-Lafayette,ACT
Solomon Thomas,N/A,DAL,DT,6'2,285,30,9,Stanford,ACT
Jay Toia,N/A,DAL,DT,6'2,342,22,R,UCLA,ACT
KaVontae Turpin,N/A,DAL,WR,5'9,153,29,4,TCU,ACT
Quinnen Williams,N/A,DAL,DT,6'3,303,28,7,Alabama,ACT
Logan Wilson,N/A,DAL,LB,6'2,245,29,6,Wyoming,ACT
Perrion Winfrey,N/A,DAL,DT,6'4,290,25,2,Oklahoma,ACT
Josh Butler,N/A,DAL,CB,6'1,182,29,2,Michigan State,ACT
Reddy Steward,N/A,DAL,DB,5'11,178,24,1,Troy,ACT
Brandon Aubrey,N/A,DAL,K,6'3,218,30,3,Notre Dame,ACT
T.J. Bass,N/A,DAL,G,6'4,325,26,3,Oregon,ACT
Brock Hoffman,N/A,DAL,C,6'4,302,26,3,Virginia Tech,ACT
Juanyeh Thomas,N/A,DAL,S,6'3,217,25,3,Georgia Tech,ACT
Hakeem Adeniji,N/A,DAL,T,6'4,302,28,6,Kansas,ACT
Corey Ballentine,N/A,DAL,CB,6'1,191,29,7,Washburn,ACT
Jadeveon Clowney,N/A,DAL,DE,6'5,266,33,12,South Carolina,ACT
Dante Fowler Jr.,N/A,DAL,DE,6'3,261,31,11,Florida,ACT
C.J. Goodwin,N/A,DAL,CB,6'3,190,36,10,California (PA),ACT
Rob Jones,N/A,DAL,G,6'4,322,27,5,Middle Tennessee State,PS
"Kenneth Murray, Jr.",N/A,DAL,LB,6'2,241,27,6,Oklahoma,PS
George Pickens,N/A,DAL,WR,6'3,200,24,4,Georgia,PS
Jack Sanborn,N/A,DAL,MLB,6'2,234,25,4,Wisconsin,PS
Miles Sanders,N/A,DAL,RB,5'11,211,28,7,Penn State,PS
Jalen Tolbert,N/A,DAL,WR,6'1,195,26,4,South Alabama,PS
Payton Turner,N/A,DAL,DE,6'6,270,27,5,Houston,PS
Javonte Williams,N/A,DAL,RB,5'10,220,25,5,North Carolina,PS
Sam Williams,N/A,DAL,DE,6'4,261,26,4,Mississippi,PS
Donovan Wilson,N/A,DAL,S,6'1,204,30,7,Texas A&M,PS
Tyson Bagent,N/A,CHI,QB,6'3,212,25,3,Shepherd,ACT
Ryan Bates,71,CHI,C,6'4,306,29,7,Penn State,ACT
Theo Benedet,79,CHI,RT,6'7,304,24,1,University of British Columbia,ACT
Andrew Billings,N/A,CHI,DL,6'1,340,30,9,Baylor,ACT
Josh Blackwell,N/A,CHI,DB,5'11,179,26,4,Duke,ACT
Austin Booker,N/A,CHI,DL,6'6,245,23,2,Kansas,ACT
Jaquan Brisker,N/A,CHI,DB,6'1,204,26,4,Penn State,ACT
Luther Burden III,N/A,CHI,WR,6'1,210,22,R,Missouri,ACT
Kevin Byard III,N/A,CHI,DB,5'11,218,32,10,Middle Tennessee State,ACT
Drew Dalman,52,CHI,C,6'3,301,27,5,Stanford,ACT
Scott Daly,N/A,CHI,LS,6'2,245,32,5,Notre Dame,ACT
Gervon Dexter Sr.,N/A,CHI,DL,6'6,326,25,3,Florida,ACT
Devin Duvernay,N/A,CHI,WR,5'11,202,28,6,Texas,ACT
Tremaine Edmunds,N/A,CHI,LB,6'4,251,27,8,Virginia Tech,ACT
C.J. Gardner-Johnson,N/A,CHI,DB,5'11,210,28,7,Florida,ACT
Kyler Gordon,N/A,CHI,DB,5'11,200,26,4,Washington,ACT
Daniel Hardy,N/A,CHI,DL,6'2,255,27,3,Montana State,ACT
Elijah Hicks,N/A,CHI,DB,5'11,204,26,4,California,ACT
Travis Homer,N/A,CHI,RB,5'10,211,27,7,Miami,ACT
